Age,Male,Female
0,1935117,1847935
1,1958585,1871014
2,2005544,1916500
3,2043010,1955655
4,2066951,1976372
5,2061200,1967081
6,2052956,1964271
7,2055735,1966584
8,2079723,1986471
9,2073148,1988726
10,2071778,1989162
11,2138037,2051224
12,2149819,2058568
13,2132987,2042234
14,2125640,2038819
15,2129720,2045739
16,2116165,2034255
17,2112553,2029872
18,2172385,2083442
19,2214784,2115655
20,2183139,2086544
21,2187086,2091237
22,2195296,2103476
23,2221758,2119886
24,2277473,2167045
25,2325853,2213205
26,2365886,2245334
27,2421270,2312599
28,2451756,2366969
29,2439805,2366339
30,2340865,2273519
31,2281327,2220984
32,2239886,2181619
33,2243280,2189693
34,2249252,2210880
35,2167622,2148244
36,2191368,2181076
37,2181162,2180124
38,2149359,2156217
39,2195430,2186919
40,2046663,2058650
41,2001502,2018752
42,1972584,2002157
43,1913289,1940751
44,1973101,1994174
45,1900492,1937417
46,1919298,1970074
47,2005221,2052817
48,2114614,2168043
49,2145730,2184045
50,2025376,2071196
51,1976883,2027460
52,1968619,2033163
53,2001325,2067526
54,2114408,2191195
55,2137586,2236979
56,2125123,2235893
57,2111795,2230590
58,2125774,2259796
59,2142211,2271644
60,2052677,2199986
61,2027951,2187221
62,1991220,2165425
63,1905842,2090246
64,1879040,2071538
65,1783428,1991169
66,1703888,1914181
67,1627863,1836574
68,1564129,1781346
69,1520465,1731958
70,1462120,1674584
71,1435378,1647705
72,1483236,1707812
73,1074771,1259662
74,1044301,1238863
75,998390,1199896
76,1003690,1218702
77,854930,1056331
78,760170,960647
79,701319,898590
80,643638,831640
81,593628,788013
82,525766,715575
83,480165,671025
84,436527,631230
85,371082,551385
86,337306,519340
87,299845,479078
88,264191,438887
89,232649,403333
90,191220,345227
91,160941,306231
92,131684,262383
93,103415,217370
94,81893,182384
95,61994,145092
96,46046,111417
97,32611,84358
98,23543,62607
99,14596,42528
100,23472,76850
